component,current_km,current_months,condition_metric_value,health_status
Front Brake Pad,14131.02,1.42,6.67,0
Rear Brake Pad,85299.26,2.9,0.96,2
Gearbox Filter,47704.71,2.0,25.9,0
Rear Brake Pad,65958.97,27.45,8.93,2
Rear Brake Pad,25179.02,30.51,0.79,2
Spark Plug,87272.22,45.63,1.05,2
Gearbox,4168.37,4.48,29.66,0
Rear Brake Pad,82687.26,23.78,4.94,2
Front Brake Pad,13737.0,31.44,0.54,2
CVT/AT Oil,31362.57,1.27,49.65,0
Gearbox Filter,84662.12,3.44,36.98,2
Gearbox,2842.79,1.13,27.99,0
Gearbox,11623.93,6.62,71.76,2
Front Brake Pad,66715.01,16.75,0.52,2
Front Brake Pad,39605.5,3.7,6.57,0
Spark Plug,32194.46,42.54,5.41,2
CVT/AT Oil,15128.64,26.5,9.06,2
Front Brake Pad,37944.77,19.9,1.03,2
CVT/AT Oil,52450.14,38.23,85.64,2
CVT/AT Oil,39408.91,10.7,17.28,2
Ignition Coil,174386.64,52.3,0.76,2
Front Brake Pad,40764.63,1.79,0.85,2
Front Brake Pad,21620.17,32.64,1.72,2
Spark Plug,86546.94,16.59,5.14,2
Spark Plug,31827.42,49.4,7.12,2
Ignition Coil,87615.19,75.85,10.22,2
CVT/AT Oil,4233.0,50.44,91.96,2
Rear Brake Pad,19771.39,24.25,7.17,0
Spark Plug,85674.95,66.58,3.88,2
Front Brake Pad,50598.96,26.19,5.67,2
Gearbox Filter,56031.79,0.72,20.46,1
Ignition Coil,88632.32,90.37,1.96,2
Spark Plug,72455.13,21.52,3.08,0
Spark Plug,46640.97,31.95,6.68,2
Rear Brake Pad,2325.51,11.98,7.02,0
Front Brake Pad,41018.78,35.4,7.57,2
Spark Plug,10171.94,58.15,5.79,2
Spark Plug,33521.42,25.12,6.92,2
Spark Plug,101461.3,57.53,3.81,2
Front Brake Pad,57059.77,26.18,8.83,2
CVT/AT Oil,44233.15,33.87,56.6,2
Gearbox Filter,16821.66,4.8,104.85,2
Gearbox,11031.95,0.72,32.35,2
Gearbox Filter,49915.84,64.92,97.25,2
Gearbox Filter,19839.41,66.62,91.14,2
CVT/AT Oil,53296.33,24.84,72.84,2
Ignition Coil,174699.84,60.37,4.04,2
Front Brake Pad,33400.75,3.1,5.03,0
CVT/AT Oil,14440.9,40.15,90.03,2
Spark Plug,62619.71,42.17,0.06,0
Ignition Coil,4661.29,30.8,6.65,0
Front Brake Pad,50957.95,34.39,2.16,2
Front Brake Pad,41030.74,14.52,6.09,0
Gearbox,5342.91,6.27,50.41,2
Gearbox Filter,30703.44,53.82,57.73,2
Spark Plug,9421.18,63.45,0.58,2
Front Brake Pad,62102.58,9.74,3.33,2
CVT/AT Oil,52902.54,50.86,88.75,2
Gearbox,7527.31,3.94,30.57,0
Gearbox Filter,4423.36,13.76,83.0,2
Front Brake Pad,20362.2,13.82,7.69,0
Front Brake Pad,26346.99,32.73,0.26,2
Gearbox,13811.35,5.23,48.01,2
Spark Plug,113335.64,15.28,3.9,2
Ignition Coil,21014.62,13.94,6.44,0
Gearbox,4625.28,7.83,68.77,2
Gearbox Filter,5138.53,48.44,55.69,2
Spark Plug,23960.37,26.73,3.76,0
CVT/AT Oil,18342.13,28.32,78.22,0
CVT/AT Oil,32449.62,44.19,20.6,2
Gearbox,1066.66,3.11,66.9,2
Rear Brake Pad,37081.6,7.47,5.99,0
Ignition Coil,170615.42,7.48,5.48,2
Rear Brake Pad,52863.29,4.61,4.05,0
Front Brake Pad,15304.56,21.67,6.28,0
Rear Brake Pad,44777.64,14.21,6.52,0
Front Brake Pad,46285.61,30.92,0.8,2
Ignition Coil,78843.92,44.14,5.15,0
Gearbox,6269.53,2.26,28.85,0
Ignition Coil,131294.78,60.45,4.31,2
CVT/AT Oil,20803.13,40.31,107.22,2
Gearbox,4980.01,6.7,13.68,2
Front Brake Pad,18842.23,23.27,7.86,1
CVT/AT Oil,3795.2,7.11,103.05,0
Gearbox Filter,22788.1,39.98,55.4,0
Front Brake Pad,59113.97,27.08,0.16,2
Gearbox Filter,62471.85,1.16,39.13,2
Gearbox,10225.87,1.87,71.91,2
Ignition Coil,39200.54,73.12,9.64,2
Ignition Coil,133358.98,71.48,4.27,2
Ignition Coil,68847.2,32.89,0.3,0
Rear Brake Pad,34106.03,16.35,4.13,0
Spark Plug,95818.11,19.24,1.83,2
Gearbox,13549.1,0.89,20.89,2
Front Brake Pad,14733.44,4.7,0.11,2
Front Brake Pad,6030.44,15.76,2.08,2
Gearbox Filter,53217.1,63.85,93.33,2
Front Brake Pad,28867.66,21.46,0.81,2
Front Brake Pad,1166.94,19.79,7.72,0
Rear Brake Pad,41366.95,12.07,8.4,0
Gearbox,9966.76,6.38,16.01,2
Gearbox Filter,21431.24,67.57,17.96,2
CVT/AT Oil,47398.47,34.52,102.42,2
Ignition Coil,179021.57,73.35,0.89,2
Rear Brake Pad,89977.64,39.15,1.03,2
Spark Plug,70481.73,12.54,7.22,2
CVT/AT Oil,50211.81,30.91,119.9,2
Gearbox,947.82,5.38,54.16,0
Gearbox Filter,25666.79,57.08,95.1,2
Front Brake Pad,35107.79,21.99,2.38,2
Gearbox,1692.61,7.83,57.25,2
Front Brake Pad,40729.78,29.04,1.41,2
Gearbox Filter,40807.46,71.23,5.75,2
Ignition Coil,76702.03,59.65,7.19,0
Gearbox,10938.6,7.87,84.48,2
Gearbox,12928.2,5.08,36.93,2
Ignition Coil,54630.7,43.04,3.8,0
Rear Brake Pad,25702.17,51.93,2.82,2
CVT/AT Oil,8883.59,5.33,69.58,0
Gearbox,3290.84,4.18,38.99,0
Rear Brake Pad,73629.38,51.73,7.42,2
Gearbox Filter,28482.19,55.73,5.47,2
Spark Plug,79983.1,58.14,3.82,2
Spark Plug,28267.91,67.14,6.45,2
Spark Plug,97131.3,57.61,6.99,2
Ignition Coil,173838.68,23.25,9.73,2
Ignition Coil,93167.9,13.44,11.55,2
Ignition Coil,16021.75,55.24,11.02,2
Front Brake Pad,24524.27,14.05,0.95,2
CVT/AT Oil,9563.69,52.27,109.77,2
Spark Plug,86303.96,53.66,3.86,2
Front Brake Pad,13069.61,14.99,4.04,0
Gearbox Filter,36112.73,61.57,45.35,2
Rear Brake Pad,81756.91,42.19,0.17,2
Rear Brake Pad,45735.19,39.72,8.93,2
CVT/AT Oil,38033.37,3.88,109.08,1
CVT/AT Oil,48873.91,12.63,24.08,2
Rear Brake Pad,35355.52,9.7,5.2,0
Gearbox,3959.63,3.85,65.96,2
Front Brake Pad,22180.79,10.26,4.3,0
Front Brake Pad,12899.63,27.68,2.39,2
Spark Plug,1173.53,5.41,4.02,0
Front Brake Pad,63665.72,33.54,1.86,2
Gearbox Filter,75778.52,34.77,69.23,2
Spark Plug,108091.22,66.96,2.88,2
Ignition Coil,87012.4,12.06,1.38,0
Ignition Coil,57610.72,45.55,2.76,0
CVT/AT Oil,51530.5,33.96,91.54,2
Gearbox,785.21,2.08,72.17,2
CVT/AT Oil,22630.73,48.78,8.36,2
CVT/AT Oil,55620.25,35.02,45.55,2
Gearbox,5690.48,8.2,55.38,2
Rear Brake Pad,73096.16,46.77,1.55,2
Gearbox,8488.33,5.54,3.56,1
Spark Plug,45868.48,20.29,5.41,2
Ignition Coil,57701.38,10.1,5.13,0
CVT/AT Oil,3207.52,24.07,5.92,2
Gearbox,11494.56,4.48,27.9,2
Ignition Coil,106736.89,58.07,0.06,0
Rear Brake Pad,50969.06,41.22,1.23,2
Gearbox Filter,63980.49,70.08,83.01,2
Spark Plug,56852.8,32.17,0.05,0
Gearbox,13313.13,5.77,37.23,2
Spark Plug,84315.55,68.83,3.99,2
Spark Plug,116276.14,67.18,6.53,2
Gearbox,1896.96,7.58,32.6,2
Front Brake Pad,27967.07,4.05,0.68,2
Front Brake Pad,43377.39,30.59,2.63,2
Gearbox Filter,67380.5,59.61,80.98,2
Spark Plug,80673.92,36.63,5.41,2
Spark Plug,100194.81,60.66,2.27,2
Rear Brake Pad,3625.32,43.46,3.32,2
Gearbox Filter,85221.26,17.33,25.19,2
Front Brake Pad,10775.21,32.27,3.64,2
Ignition Coil,164083.84,37.33,7.46,2
CVT/AT Oil,39681.01,21.17,44.24,1
CVT/AT Oil,21038.56,20.35,64.03,0
Gearbox Filter,9114.85,48.66,26.12,2
Spark Plug,96708.7,20.14,1.44,2
Rear Brake Pad,1895.2,1.97,8.12,0
CVT/AT Oil,21384.28,40.37,66.08,2
Spark Plug,37167.99,61.83,5.25,2
Rear Brake Pad,44400.74,2.16,8.86,0
Spark Plug,349.41,0.68,6.07,2
Gearbox,8786.67,5.28,40.12,0
Gearbox,13754.42,8.97,13.83,2
Rear Brake Pad,59726.22,42.33,3.55,2
Spark Plug,18073.31,67.15,2.87,2
Gearbox,11775.1,7.16,12.19,2
CVT/AT Oil,52695.15,28.47,111.58,2
Rear Brake Pad,24551.45,25.03,7.99,0
Ignition Coil,44453.77,97.16,10.93,2
Rear Brake Pad,46820.74,36.56,7.01,2
Rear Brake Pad,54086.15,1.85,4.48,0
CVT/AT Oil,55469.66,28.17,1.61,2
Rear Brake Pad,56085.52,4.02,4.53,1
Spark Plug,6993.04,66.32,6.56,2
Ignition Coil,132893.19,36.25,9.18,2
Rear Brake Pad,41405.77,16.07,0.3,2
Gearbox Filter,58859.48,44.54,32.53,1
Spark Plug,119351.3,34.7,5.67,2
Spark Plug,15252.31,25.68,4.44,0
Front Brake Pad,56588.82,23.55,2.48,2
Front Brake Pad,618.67,7.25,8.63,0
Ignition Coil,34417.89,33.78,5.83,0
Spark Plug,29369.41,63.47,3.12,2
Front Brake Pad,14313.03,3.78,6.2,0
Gearbox Filter,46540.61,65.38,84.46,2
Spark Plug,1295.81,50.47,0.85,2
Gearbox Filter,11023.33,38.45,92.34,2
Ignition Coil,14837.99,82.69,0.84,2
Spark Plug,38940.8,68.05,2.12,2
Ignition Coil,99742.71,56.93,9.17,2
Front Brake Pad,49851.39,31.21,5.64,2
Rear Brake Pad,66262.86,41.81,5.91,2
Gearbox Filter,69720.56,19.07,98.03,2
CVT/AT Oil,37565.89,48.12,60.68,2
Gearbox Filter,55603.19,55.44,10.92,2
Rear Brake Pad,25247.5,44.31,5.26,2
CVT/AT Oil,31099.44,24.94,37.73,2
Gearbox Filter,66335.72,5.05,90.78,2
Gearbox Filter,62938.16,51.2,5.46,2
CVT/AT Oil,27495.2,14.17,29.01,2
Gearbox Filter,73606.56,24.93,84.81,2
Ignition Coil,17427.37,51.41,11.9,2
Ignition Coil,37895.13,54.16,2.8,0
Gearbox,2021.21,2.83,43.69,0
Spark Plug,110666.8,42.66,2.85,2
Spark Plug,30572.11,65.85,0.85,2
Ignition Coil,90887.9,19.05,9.75,2
Rear Brake Pad,23673.26,12.13,4.19,0
Front Brake Pad,63943.22,13.28,1.22,2
Ignition Coil,14892.89,98.83,3.52,2
Gearbox Filter,22748.93,29.28,40.23,0
Ignition Coil,169839.57,97.47,10.47,2
Gearbox Filter,45820.2,10.62,64.22,0
CVT/AT Oil,6444.86,5.46,1.36,2
Rear Brake Pad,85146.81,13.21,1.18,2
Gearbox Filter,87117.28,18.37,90.14,2
Ignition Coil,19803.19,102.32,5.08,2
Spark Plug,53087.25,3.32,4.08,0
Rear Brake Pad,33106.56,7.71,6.26,0
Front Brake Pad,44678.36,15.63,7.37,1
Rear Brake Pad,53989.72,37.55,7.43,2
Front Brake Pad,45126.9,31.06,1.47,2
Gearbox,12800.94,8.23,23.88,2
Front Brake Pad,42418.54,14.22,2.29,2
Rear Brake Pad,88471.8,49.95,7.07,2
CVT/AT Oil,11424.81,36.18,0.05,2
Rear Brake Pad,7132.46,10.34,3.48,0
Front Brake Pad,30080.62,32.24,1.14,2
Ignition Coil,26541.47,3.21,0.86,0
Spark Plug,36174.74,6.81,5.69,2
Rear Brake Pad,59313.12,2.72,0.94,2
Gearbox,9338.24,1.87,45.37,1
Spark Plug,111320.94,68.39,4.16,2
Gearbox,10835.6,0.7,9.55,2
Spark Plug,77133.19,42.31,6.72,2
CVT/AT Oil,29248.07,19.66,76.73,0
Spark Plug,51637.97,19.78,6.66,2
Gearbox,1079.71,2.31,64.25,2
Ignition Coil,142072.32,3.37,11.6,2
Rear Brake Pad,69362.28,14.26,0.05,2
Gearbox Filter,87536.39,43.69,12.59,2
Spark Plug,29519.97,38.31,3.62,0
Gearbox Filter,18705.93,58.57,78.0,2
Gearbox Filter,66433.57,13.62,60.22,2
Spark Plug,22606.2,4.05,0.61,0
Gearbox Filter,21065.2,3.58,28.19,0
Rear Brake Pad,86451.17,7.7,4.58,2
Front Brake Pad,46835.78,17.62,4.61,2
Front Brake Pad,8297.23,22.3,6.08,0
CVT/AT Oil,33400.92,34.87,1.62,2
Gearbox Filter,15159.65,54.75,103.42,2
Gearbox Filter,64504.67,50.83,24.59,2
Gearbox,6807.7,4.87,76.46,2
Spark Plug,87801.55,11.1,6.42,2
CVT/AT Oil,11344.66,48.65,80.9,2
Gearbox,4470.86,3.8,26.85,0
Spark Plug,9443.72,37.97,3.02,0
CVT/AT Oil,41006.07,36.93,60.22,2
Front Brake Pad,66629.26,20.2,6.19,2
CVT/AT Oil,16973.15,48.32,2.9,2
Front Brake Pad,28607.05,23.4,0.22,2
Front Brake Pad,39776.79,20.16,6.65,0
CVT/AT Oil,7714.77,0.99,82.76,0
Spark Plug,7872.09,49.72,4.29,2
Front Brake Pad,34048.67,21.06,4.62,0
CVT/AT Oil,58240.08,9.49,71.65,2
Ignition Coil,78080.09,38.43,6.19,0
CVT/AT Oil,29115.34,29.34,36.57,2
Gearbox Filter,17368.56,8.37,64.71,0
Rear Brake Pad,62106.78,21.08,3.74,2
CVT/AT Oil,33258.04,28.47,88.11,0
Ignition Coil,119472.18,71.9,3.43,1
CVT/AT Oil,11004.32,23.31,98.11,0
Spark Plug,107609.59,15.17,1.71,2
Spark Plug,4220.96,65.65,5.81,2
Spark Plug,16104.29,46.42,2.55,0
CVT/AT Oil,50542.28,41.07,20.19,2
Gearbox Filter,10464.63,38.62,45.9,0
CVT/AT Oil,40618.61,26.85,11.28,2
Rear Brake Pad,54698.65,21.85,2.03,2
CVT/AT Oil,59777.81,45.66,73.32,2
CVT/AT Oil,22097.73,20.17,46.02,0
Spark Plug,100131.49,59.98,5.24,2
Spark Plug,98148.5,2.76,6.53,2
Spark Plug,69908.27,50.32,6.4,2
Ignition Coil,97952.97,0.86,1.14,0
Gearbox,2073.68,3.96,44.67,0
Gearbox Filter,61079.41,30.3,100.95,2
CVT/AT Oil,53025.72,50.4,103.05,2
Gearbox Filter,30316.29,41.0,90.42,2
Gearbox Filter,6531.73,61.22,22.35,2
Rear Brake Pad,48859.03,44.98,1.13,2
Gearbox Filter,71315.17,16.22,71.55,2
Rear Brake Pad,29424.79,32.76,8.37,0
Gearbox,3365.54,4.44,86.54,2
Ignition Coil,109704.2,88.62,3.42,2
Gearbox,11225.41,7.06,29.21,2
Ignition Coil,91045.66,60.52,8.74,2
Front Brake Pad,53283.1,26.04,2.47,2
Spark Plug,76858.0,18.68,0.63,1
CVT/AT Oil,50156.13,8.03,54.74,2
Gearbox Filter,71013.65,25.27,42.49,2
Spark Plug,35089.81,62.99,5.79,2
Gearbox,14838.25,1.5,4.2,2
Gearbox,3576.41,8.48,54.34,2
Rear Brake Pad,85110.62,22.08,5.96,2
Spark Plug,75670.64,32.37,1.41,1
Gearbox Filter,20974.02,41.3,86.26,2
Front Brake Pad,44805.93,4.08,6.49,1
Rear Brake Pad,35332.9,18.47,7.49,0
Spark Plug,98476.99,2.71,2.75,2
Gearbox,9334.75,6.36,26.82,2
Front Brake Pad,15105.04,33.57,4.39,2
CVT/AT Oil,42329.8,36.28,47.32,2
Spark Plug,81119.1,50.81,3.67,2
Gearbox Filter,37570.35,52.61,54.8,2
Spark Plug,53322.26,67.97,0.36,2
Ignition Coil,179564.87,95.79,9.73,2
CVT/AT Oil,13878.85,39.68,36.55,2
CVT/AT Oil,10600.94,31.33,108.48,0
Ignition Coil,151313.88,91.55,9.26,2
Rear Brake Pad,30280.53,11.41,2.82,2
Rear Brake Pad,79938.83,45.39,4.26,2
Gearbox,9578.16,0.46,83.37,2
CVT/AT Oil,26282.02,46.5,67.9,2
Spark Plug,87542.03,25.0,5.11,2
Gearbox,2183.51,3.65,10.14,0
CVT/AT Oil,29316.3,32.57,39.07,2
CVT/AT Oil,50272.4,47.67,110.65,2
Ignition Coil,112196.6,6.08,0.29,1
Spark Plug,116921.93,3.33,2.67,2
Gearbox Filter,14824.6,49.62,54.03,2
Gearbox,7252.83,6.17,70.11,2
Ignition Coil,26541.54,7.91,9.75,2
CVT/AT Oil,48476.28,10.25,13.22,2
Rear Brake Pad,42929.27,34.68,0.35,2
Rear Brake Pad,70008.99,27.02,3.22,2
Spark Plug,3773.51,52.31,6.27,2
Gearbox Filter,30810.07,55.42,58.94,2
Front Brake Pad,65765.59,35.51,4.61,2
Ignition Coil,134876.76,104.19,0.88,2
Rear Brake Pad,83655.51,9.31,5.22,2
Rear Brake Pad,43418.12,5.06,6.91,0
CVT/AT Oil,10163.79,33.52,86.28,0
Gearbox Filter,6512.15,63.44,26.95,2
Gearbox,8735.93,1.14,41.57,0
Gearbox Filter,62058.08,24.77,29.11,2
Spark Plug,11998.23,2.42,4.2,0
Gearbox,11936.8,3.06,0.59,2
Front Brake Pad,36273.1,30.27,0.3,2
Front Brake Pad,29509.11,10.06,5.24,0
Rear Brake Pad,85871.85,12.06,8.3,2
Gearbox Filter,57579.77,3.94,42.78,1
Spark Plug,641.88,53.87,6.77,2
Front Brake Pad,6488.49,15.28,8.4,0
CVT/AT Oil,48389.76,9.7,115.15,2
Spark Plug,97216.81,6.31,4.75,2
Gearbox Filter,46479.99,52.34,60.88,2
Gearbox,2458.98,6.62,27.11,2
Ignition Coil,107897.5,18.5,8.9,2
Ignition Coil,165855.48,13.89,5.35,2
Gearbox,1922.82,3.83,22.25,0
Gearbox Filter,60271.56,69.22,63.28,2
Ignition Coil,35359.44,66.3,1.05,0
Rear Brake Pad,84261.63,46.8,8.84,2
Ignition Coil,50857.36,40.83,1.24,0
Rear Brake Pad,30487.49,25.38,7.72,0
Gearbox Filter,29199.44,24.06,2.7,0
CVT/AT Oil,37833.55,40.48,52.48,2
Ignition Coil,81990.31,3.33,10.55,2
Gearbox,4302.24,2.64,35.96,0
Front Brake Pad,62384.74,0.88,5.23,2
CVT/AT Oil,15816.33,51.55,72.43,2
CVT/AT Oil,43627.87,0.04,112.42,2
Rear Brake Pad,61282.55,10.08,2.42,2
Rear Brake Pad,11074.69,53.26,2.84,2
Gearbox,5718.45,8.92,22.29,2
Ignition Coil,46251.41,2.26,2.68,0
Spark Plug,73810.95,34.65,3.45,0
Rear Brake Pad,46435.13,13.69,8.46,0
Gearbox Filter,6333.13,45.43,100.09,2
Ignition Coil,74133.41,78.58,5.42,2
Front Brake Pad,62746.86,6.63,3.93,2
Gearbox,1425.85,1.8,37.21,0
Gearbox,536.49,4.75,59.57,0
CVT/AT Oil,36341.95,37.36,45.97,2
Front Brake Pad,27752.55,8.52,6.57,0
CVT/AT Oil,27881.37,44.32,73.74,2
CVT/AT Oil,51985.64,1.8,109.53,2
Spark Plug,36386.35,50.26,5.93,2
CVT/AT Oil,29739.24,22.74,49.26,0
Gearbox Filter,59530.3,63.5,42.99,2
Rear Brake Pad,17831.77,0.5,5.65,0
Front Brake Pad,25288.82,6.59,3.87,0
Gearbox,5367.62,0.08,75.53,2
CVT/AT Oil,44949.47,17.75,73.3,2
Rear Brake Pad,48923.6,35.3,3.48,1
Gearbox,5829.48,3.74,67.2,2
Ignition Coil,98932.01,95.88,1.26,2
Front Brake Pad,49401.44,13.82,8.5,2
Gearbox Filter,36013.97,10.84,52.87,0
Rear Brake Pad,6768.18,38.22,4.35,2
Rear Brake Pad,63545.23,26.48,2.32,2
Gearbox,6119.44,2.92,70.35,2
Rear Brake Pad,72281.98,2.38,8.93,2
Spark Plug,97330.47,6.31,6.04,2
Front Brake Pad,49439.8,15.56,6.12,2
Spark Plug,29375.98,49.0,0.91,2
CVT/AT Oil,38614.57,5.84,52.35,1
Rear Brake Pad,16060.56,4.3,8.46,0
Gearbox,9501.96,0.95,56.57,1
Spark Plug,11394.44,52.43,2.43,2
Gearbox,5058.03,2.36,10.97,0
Rear Brake Pad,31624.11,53.9,8.0,2
Rear Brake Pad,50693.03,34.98,1.89,2
Spark Plug,45769.06,10.14,4.69,0
Front Brake Pad,53308.92,23.89,3.11,2
CVT/AT Oil,3795.76,32.56,6.86,2
CVT/AT Oil,49587.22,49.34,105.59,2
Rear Brake Pad,13527.96,2.08,7.91,0
Gearbox Filter,23512.06,70.7,94.28,2
Gearbox,464.56,2.47,2.95,0
Ignition Coil,168446.81,25.27,1.01,2
Gearbox Filter,14547.39,65.22,54.21,2
Gearbox Filter,31681.49,29.58,1.93,0
Gearbox Filter,63826.26,14.42,22.16,2
CVT/AT Oil,26832.82,16.73,57.94,0
Gearbox Filter,70555.73,32.63,83.18,2
Gearbox Filter,12328.4,49.45,95.9,2
CVT/AT Oil,18890.47,6.31,32.78,2
CVT/AT Oil,27319.72,49.06,12.54,2
Front Brake Pad,20486.0,12.43,8.92,0
Spark Plug,48557.4,4.5,6.16,2
Ignition Coil,124831.77,4.29,10.07,2
Gearbox,12645.55,3.59,46.99,2
Rear Brake Pad,27043.99,43.38,2.45,2
Gearbox,13411.37,4.48,75.76,2
Gearbox,8837.35,4.09,67.06,2
Ignition Coil,148719.13,24.58,6.29,2
Front Brake Pad,4014.91,21.99,3.4,0
Spark Plug,13113.53,57.2,0.74,2
Ignition Coil,48429.4,87.68,6.4,2
Rear Brake Pad,88176.09,14.49,0.37,2
Rear Brake Pad,9203.79,40.18,7.25,2
Rear Brake Pad,2805.74,46.99,1.25,2
Spark Plug,13535.63,50.82,6.84,2
Rear Brake Pad,72123.44,21.47,3.03,2
Gearbox,9641.6,2.95,77.41,2
Gearbox,3856.78,8.54,15.28,2
Gearbox Filter,13782.13,0.71,25.0,0
Spark Plug,25118.62,17.34,0.97,0
Spark Plug,87926.81,49.38,6.25,2
Front Brake Pad,37473.28,26.29,4.8,2
Ignition Coil,87490.36,33.89,1.7,0
Spark Plug,88656.17,64.29,3.36,2
CVT/AT Oil,57036.38,39.4,6.25,2
Gearbox,3595.64,3.35,20.73,0
Gearbox Filter,87847.05,38.33,95.06,2
Gearbox,6138.38,6.73,10.21,2
Gearbox,12243.42,8.89,35.0,2
CVT/AT Oil,48070.29,32.64,23.83,2
Ignition Coil,35545.25,67.68,8.22,2
Ignition Coil,54938.62,105.16,7.96,2
Front Brake Pad,22343.6,26.65,2.81,2
CVT/AT Oil,10302.6,28.61,34.8,2
Gearbox Filter,61124.25,70.92,3.03,2
Rear Brake Pad,21.86,6.85,8.4,0
Gearbox Filter,2909.09,37.45,59.55,0
Front Brake Pad,65536.07,13.45,6.13,2
Gearbox Filter,27951.93,44.33,72.55,2
CVT/AT Oil,17272.77,6.49,84.42,0
CVT/AT Oil,2172.44,29.76,85.04,0
Front Brake Pad,20501.36,33.16,2.89,2
Spark Plug,28992.3,48.4,1.48,2
CVT/AT Oil,56581.24,42.93,21.75,2
Ignition Coil,156587.32,13.63,8.13,2
CVT/AT Oil,57767.09,6.84,50.48,2
Spark Plug,112529.0,6.57,0.15,2
Rear Brake Pad,61698.48,23.56,1.75,2
Gearbox,9763.0,1.79,21.63,1
Rear Brake Pad,57428.35,15.56,2.12,2
CVT/AT Oil,8047.18,3.05,104.2,0
Spark Plug,217.44,16.11,2.55,0
Gearbox,2239.02,2.17,84.25,2
Ignition Coil,59455.38,2.13,1.62,0
Ignition Coil,60301.54,22.39,4.53,0
Gearbox Filter,26062.44,41.56,6.92,0
Front Brake Pad,191.85,33.51,1.0,2
Ignition Coil,119533.34,27.55,1.52,1
Rear Brake Pad,42083.01,47.25,7.3,2
Rear Brake Pad,68468.34,0.86,5.02,2
Spark Plug,44039.78,7.64,5.16,2
Rear Brake Pad,26559.8,39.6,7.84,2
Front Brake Pad,11010.24,8.97,3.08,0
Ignition Coil,99237.13,38.83,1.51,0
Front Brake Pad,28578.61,0.16,2.82,2
Rear Brake Pad,71725.28,31.88,0.87,2
Gearbox Filter,63246.45,57.07,66.06,2
Ignition Coil,956.55,35.43,7.92,0
Ignition Coil,74114.58,35.96,8.03,2
Gearbox Filter,60102.56,2.92,41.03,2
Rear Brake Pad,82931.2,52.84,0.1,2
Gearbox,3708.08,8.96,9.3,2
Spark Plug,117723.54,44.19,5.95,2
Front Brake Pad,12383.41,27.3,0.2,2
Gearbox,4798.19,5.37,54.43,0
Gearbox Filter,55034.54,50.11,35.96,2
Front Brake Pad,33395.91,4.82,7.97,0
Gearbox,11133.02,4.59,38.02,2
Spark Plug,73055.76,12.91,1.69,0
Rear Brake Pad,78620.0,17.79,5.29,2
CVT/AT Oil,7654.09,48.78,80.67,2
Gearbox,7655.89,8.72,62.39,2
Gearbox,1399.47,4.69,75.27,2
Ignition Coil,111185.03,69.6,0.34,1
Spark Plug,2433.64,34.52,3.85,0
Front Brake Pad,14502.69,1.45,1.81,2
Front Brake Pad,67037.9,27.3,7.14,2
Rear Brake Pad,42907.85,14.62,0.26,2
Ignition Coil,170241.24,100.42,4.58,2
Spark Plug,89609.2,61.76,3.71,2
Rear Brake Pad,16618.61,18.42,4.89,0
Gearbox Filter,5850.07,59.42,13.22,2
Gearbox,8379.34,8.13,9.99,2
Front Brake Pad,41812.54,28.91,3.89,2
Ignition Coil,71712.08,30.74,2.04,0
Spark Plug,55514.31,56.53,6.16,2
Gearbox,1873.8,0.24,1.12,0
Spark Plug,90358.34,58.4,0.25,2
Rear Brake Pad,8825.21,23.56,8.66,0
Gearbox,12786.58,4.94,17.76,2
Front Brake Pad,23491.82,32.12,4.23,2
CVT/AT Oil,9512.17,43.89,15.91,2
Gearbox,155.18,5.64,63.35,2
Gearbox,6709.99,7.11,55.65,2
Front Brake Pad,4242.88,17.14,6.2,0
Spark Plug,89225.31,41.81,2.91,2
Ignition Coil,49922.42,54.02,1.93,0
CVT/AT Oil,30895.65,9.22,79.55,0
Gearbox,12445.03,5.06,60.37,2
Gearbox,4998.63,5.36,8.12,0
Rear Brake Pad,69003.47,52.36,6.72,2
CVT/AT Oil,47289.59,38.02,70.77,2
CVT/AT Oil,16527.47,43.59,44.04,2
Front Brake Pad,62878.62,21.0,4.85,2
Rear Brake Pad,74924.88,45.94,3.82,2
Ignition Coil,91750.17,41.04,5.38,0
CVT/AT Oil,59827.91,41.71,91.35,2
Ignition Coil,8632.39,83.74,6.85,2
Spark Plug,17983.54,41.17,1.9,0
Ignition Coil,2074.68,14.08,3.71,0
CVT/AT Oil,41878.31,0.09,104.58,2
Gearbox Filter,17917.41,42.31,6.72,0
Gearbox,3701.21,4.05,1.99,0
CVT/AT Oil,40155.43,3.88,89.68,2
Gearbox Filter,58862.08,29.97,18.86,1
Front Brake Pad,17639.67,35.46,2.79,2
Spark Plug,94279.99,48.49,0.86,2
Rear Brake Pad,65761.57,49.57,8.21,2
Rear Brake Pad,57855.01,20.63,8.61,1
Gearbox Filter,86596.73,64.91,28.39,2
Rear Brake Pad,57485.36,51.48,0.91,2
Rear Brake Pad,46816.27,15.93,0.14,2
Spark Plug,2705.91,4.01,0.39,0
CVT/AT Oil,42294.67,4.6,78.01,2
Gearbox Filter,14008.32,28.22,51.45,0
Gearbox,13916.87,8.39,64.85,2
Gearbox,2051.03,6.88,1.62,2
Ignition Coil,32619.25,87.51,1.62,2
Gearbox Filter,84472.04,13.38,102.69,2
Gearbox,6398.19,1.25,2.0,0
CVT/AT Oil,25469.57,16.7,33.68,2
Ignition Coil,119721.63,74.61,9.44,2
Spark Plug,71541.92,65.95,2.16,2
